Timestamp,Organization:,Organizational sector:,Does your organization work with the City or County of Los Angeles?,Programs/Initiatives (If applicable),Creative Sector Alignment:,Pipeline service:,Organizational/Program overview:,Ages served: ,Particular populations served:,Number of individuals served:,Neighborhood/community served:,To connect/contact:,For more information: ,Did organization participate in an interview?
7/18/2018 11:55:44,Armory Center for the Arts,non-profit,,Armory Community Program; Armory Schools Program; Art High ,"arts galleries, communication arts, digital media, entertainment, fine and performing arts school, publishing and printing, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, PLACEMENT: connect young people to workforce opportunities in the creative industries","At the core of our mission is a deep commitment to social justice through arts education. Every day, our teaching artists transform lives and communities through the power of art. They teach year-round studio art classes for all ages at our Old Pasadena facility. They collaborate with incarcerated teens to create murals inside juvenile detention camps. They instruct graphic design workshops at continuation high schools in Boyle Heights. They help public school teachers integrate art with math to excite imaginations and inspire critical thinking. They deliver free art classes at low-income elementary schools, inner-city parks, and recreation centers—mentoring some our most vulnerable community members. 

Community Arts Program:
The Armory’s mission is to build on the power of art to transform lives and communities through creating, teaching and presenting the arts. In the community the Armory has provided a wide range of programming for students of all ages since 1983. Classes are taught by professionally trained teaching artists committed to creating safe, supportive environments in which students can have fun learning experiences about contemporary art, while developing their artistic skills and exploring stimulating ideas.

Armory Schools Program:
The Armory is committed to delivering innovative, sequential and standards-based visual art programs to K-12 schools. We place professional teaching artists directly into schools through customized residencies. These programs may happen during the school day in selected classrooms or throughout a school. Our School Programs link visual arts with other curricular areas such as language arts, math, and sciences in ways that are authentic, multilayered and complex. The interdisciplinary focus promotes learning by providing students with opportunities to solve problems, and with meaningful connections within the arts and across the curriculum.

Art High:
Since 2006, the Armory’s Art High programs have made free after school art classes and mentorship opportunities readily accessible to local teens at parks, schools, and community centers throughout the region. ",All ages/no age restrictions,"Incarcerated youth, No restrictions/all populations served",501-1000,"Eastside (Boyle Heights, East Los Angeles, Lincoln Heights), Pasadena, County of Los Angeles, Altadena","145 North Raymond Avenue
Pasadena, California 91103
626.792.5101",http://www.armoryarts.org/,Yes
7/18/2018 12:39:23,Inner-City Arts,non-profit,,"Learning and Achieving in the Arts; Visual, Media and Performing Arts Institutes; Artists in the Middle; Work of Art ","architecture/interior design, arts galleries, communication arts, digital media, entertainment, fashion, fine and performing arts school, furniture/decorative arts, industrial design services, publishing and printing, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, INTERNSHIPS: provide internship to young people in the creative industries","Inner-City Arts envisions a society that honors the human capacity for creativity, and values its cultivation in the education of young people. Our mission is to engage young people in the creative process in order to shape a society of creative, confident and collaborative individuals. 

Learning and Achieving through the Arts:
In a unique partnership with the Los Angeles Unified School District and local charter schools, elementary and middle school students and their classroom teachers are brought to the Inner-City Arts campus for experiential instruction in the visual and performing arts during their school day.

Twice a week, for seven- or eight-week sessions, students and teachers work with Inner-City Arts teaching artists, focusing on a specific art form—visual arts, ceramics, music, dance, drama, digital photography or animation.

Visual, Media & Performing Arts Institutes: 
Inner-City Arts' Visual, Media & Performing Arts Institutes offer self-select after-school and weekend workshops to middle and high school students. Every workshop, no matter the art form, provides students with a valuable opportunity for creative exploration, performance, individual and group study, connections to mentorship opportunities, and career-development support.

Artists in the Middle:
The Artists in the Middle program provides fun and engaging workshops intended to expose rising 6th, 7th and 8th grade students to a variety of arts taught by our professional teaching artists during the summer.

Two three-week summer sessions are offered, providing young artists the opportunity to participate in four different art forms of their choosing.

Work of Art:
Work of Art is a college and career exploration program designed to prepare teens with the skills, training, and real-world experience necessary to prepare them for life beyond high school. Eligible teens are high school students enrolled in the Middle and High School Visual, Media & Performing Arts Institutes program, have an interest in exploring a career in the creative economy, and a desire for mentorship.

","5-10, 11-13, 14, 15, 16, 17, 18","Low-income students, English learners, students of color",more than 1000,"Central Los Angeles (Hollywood, Mid-City, Mid-Wilshire, Downtown, Koreatown, Pico-Union), Eastside (Boyle Heights, East Los Angeles, Lincoln Heights), Northeast Los Angeles (Highland Park, Eagle Rock, Glassel Park), South Los Angeles (Watts, Jefferson Park, Hyde Park, Historic South-Central, Baldwin Hills/Crenshaw), Southeast Los Angeles (Montebello, Huntington Park, Pico Rivera, Norwalk)","
720 Kohler Street
Los Angeles, CA 90021
(213) 627-9621",http://inner-cityarts.org/,Yes
7/18/2018 13:04:56,Hollywood CPR,non-profit,,Training Program (After School Track & Career Track),"digital media, entertainment, fashion, furniture/decorative arts","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, CERTIFICATION: provide certificate or degree indicating readiness for workforce opportunities in creative industries","The mission of Hollywood CPR is to offer under-represented individuals opportunities to gain knowledge through hands-on training in marketable trade skills and guidance in work habits as they relate to the art, crafts and technicians departments of the entertainment industry. 

Training Program:
Hollywood Cinema Production Resources' Training Program provides industry-specific training in marketable trade skills to under-served students in what is expected of an entry-level person in the art, crafts and technicians departments of film and television. Hollywood CPR's training provides qualified students a unique opportunity to learn these specialized craft and trade skills from the industry professionals who are masters in their trade.

The classes offered cover a broad spectrum of the entertainment industry's art department and stage crafts needs, focusing on the most important and common skill applications expected of an entry-level worker. Hollywood CPR's training program also incorporates broad-based life skills coaching and support that focus on the myriad of social skills necessary for success in gaining and keeping employment. Students earn college credit (through a collaboration with West Los Angeles College).

After School Track:
The After School Track is intended to allow young people ages fifteen to eighteen to experience various aspects of the crafts of the entertainment industry. Each session begins with a hands-on orientation to all aspects of the crafts and its application to the entertainment industry. Students then spend time with different instructors and have opportunities to learn and discover their areas of interest through fun and creative projects. The after school program helps youth develop passion for the arts, opens the door to the possible careers in the industry, and provides students with the skills required to perform them. Students gain a foundation and learn the basics of art and technical aspects of film as applied to various areas of the entertainment industry crafts. After completion of this course, students will have an understanding of what kind of work is required for each type of craft. Having a strong foundation gives students depth of knowledge and the experience to be flexible for various career opportunities, and insight into the types of crafts, which are the most rewarding for them.

Career Track:
The Career Track is a specifically focused training program offering a first-of-its-kind opportunity for students to study with industry professionals in a range of areas including stagecraft, set lighting, costume manufacturing, set painting, etc. ","15, 16, 17, 18, 19-24, 24+","Low-income students, Students enrolled in a postsecondary institution",101-500,"Westside (Mar Vista, Venice, Westwood, Palms, Brentwood), City of Los Angeles","Hollywood Cinema Production Resources
P.O. Box 88459
Los Angeles, CA 90009-8459",http://www.hollywoodcpr.org/,Yes
7/18/2018 13:18:58,Ghetto Film School ,non-profit,,Fellows Program,"communication arts, digital media, entertainment","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments","Ghetto Film School (GFS) is an award-winning nonprofit founded in 2000 to educate, develop and celebrate the next generation of great American storytellers. We identify young talent from local communities and provide them with the access, opportunity and resources to pursue creative careers, always free of charge.

GFS equips students for top universities and careers in the creative industries through two tracks: an introductory education program for high school students and early-career support for alumni and young professionals. 

Fellows Program:
The Fellows Program is a visual storytelling course for high school students. Fellows receive more than 1,000 hours of immersive, college-level training, learning both the art and business of cinematic storytelling and production training while getting the preparation and guidance to advance their education at top universities. The program is free of charge for all students.","14, 15, 16, 17, 18",No restrictions/all populations served,11-50,City of Los Angeles,"2701 Wilshire Blvd
Suite 100
Los Angeles, CA 90057
213-738-8290",https://www.ghettofilm.org/,Yes
7/18/2018 13:31:39,The Broad Museum,non-profit,,Diversity Apprenticeship Program (DAP) at the Broad Museum,"arts galleries, furniture/decorative arts","EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, INTERNSHIPS: provide internship to young people in the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments","The Diversity Apprenticeship Program (DAP) is a new initiative by The Broad. The DAP provides nine-month, full-time, paid apprenticeships in preparation/art handling. A art handler is someone who works directly with art or artifacts in museums, galleries and art shipping companies. Usually, they pack and unpack art, install and de-install exhibitions, and move art around museum and storage spaces. 

In order to best reflect the communities we serve, we believe we need to actively help build a workforce of people with a diverse set of life experiences and ideas. In this way, we can innovate, inspire and engage with the widest possible audience. Through the DAP, we provide opportunities to apprentices from groups underrepresented on museum staffs.

The DAP has two main goals. First, to train 16 apprentices in two groups. The first group of eight apprentices will begin in 2018. A second group of eight apprentices will begin in 2019. Apprentices will gain valuable skill-sets through hands-on learning. They will put their skills to work at several partner sites. Our second goal is to drive long-lasting, industrywide change. ","18, 19-24, 24+","Applicants must have work authorization in the form of a work permit, permanent residency or citizenship. Background check will be performed.",11-50,"City of Los Angeles, County of Los Angeles","221 S. Grand Ave.
Los Angeles, CA 90012
213-232-6200",https://thebroad.org/dap,Yes
7/18/2018 14:37:20,Manifest Works,non-profit,,,"communication arts, digital media, entertainment","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments","ManifestWorks is an immersive workforce development and job placement organization; we turn real-world experience into learning opportunities for those impacted by foster care, homelessness, and incarceration. Our vision is one of transformation. Harnessing our ties in film, television, and new media production, partners in Hollywood join us to teach networking, effective communication, leadership, accountability and the basics of production, enough to help participants excel at their first job—and start preparing for their second. 

The 12-week program builds on a fully immersive learning model — hands-on doing, making, creating; gives our participants the life skills they need to develop a work ethic; puts them in the mix with industry professionals and mentors; and
teaches them that networking is an essential part of the hustle.

Beyond the workshops, our program includes: paid, on-set experience; real world experience on location; in production houses, sound stages, and post-production facilities; the support and wisdom of past participants who return to offer help to those that follow.

Graduates will harness connections they’ve made and find jobs from our network of partners throughout the entertainment industry, joining our alumni who are crewing television shows, commercials, and films. ","18, 19-24, 24+","Foster Youth, Incarcerated youth, Homeless ",11-50,County of Los Angeles,"1660 Stanford Street 
Santa Monica, CA, 90404",https://www.manifestworks.org/,Yes
7/18/2018 15:00:42,Bixel Exchange,workforce investment,"Yes, my organization works with the City of Los Angeles",LA Tech Talent Pipeline,"communication arts, digital media, entertainment","EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, SCHOLARSHIPS: provide scholarships to young people in programs related to the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments","Bixel Exchange is Los Angeles' Center for Innovation and Technology. We are hosted at the Los Angeles Area Chamber of Commerce. We cultivate talent and empower entrepreneurs with the goal of creating a more prosperous Los Angeles. Bixel Exchange focuses on the rapidly evolving segments of the high-tech ecosystem, including adtech, clean tech, digital media, gaming, mobile and social media. 

LA Tech Talent Pipeline:
The LA Tech Talent Pipeline, our partnership with L.A. Mayor Eric Garcetti, connects low-income, diverse students to careers in the fast-growing technology sector. In 2017, we worked with more than 60 of L.A.’s top tech employers
to connect more than 4,000 diverse, traditionally underrepresented high school and community college students to work-based learning opportunities (company
tours, classroom guest speakers, immersive workshops), internships and job placements. As part of our partnership with Mayor Garcetti, Bixel Exchange placed more than 100 low-income students at paid summer internships at
L.A.’s top tech companies in 2017. We partner with 19 community colleges, 30 high schools, and over 60 tech companies. ","14, 15, 16, 17, 18, 19-24, 24+","Foster Youth, Low-income students, Incarcerated youth, Students enrolled in a postsecondary institution, Probation Youth, No restrictions/all populations served",more than 1000,County of Los Angeles,"350 S. Bixel Street 
Los Angeles, CA 90017 
213.580.7504 ",http://bixelexchange.com/,Yes
7/18/2018 22:27:59,Los Angeles Unified School District,k-12/alt education,,Arts Education (Arts Community Network); Linked Learning  ,"architecture/interior design, communication arts, digital media, entertainment, fashion, fine and performing arts school, industrial design services, publishing and printing","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, CERTIFICATION: provide certificate or degree indicating readiness for workforce opportunities in creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries","ARTS EDUCATION: 
The Visual and Performing Arts are an integral part of the District's comprehensive curriculum and are essential for learning in the 21st century.  All LAUSD students, from every culture and socioeconomic level, deserve quality arts learning in dance, music, theatre, visual and media arts as part of the core curriculum. The Arts Equity Index (AEI) assists in making sure all students gain this access. The AEI categorizes all LAUSD schools (K-12) based on the scope of their provided arts instruction, arts resources, arts professional development, Title 1 Status, and Student Equity Index (Poverty, Foster Students, English Language Learners). Based on their category, grossly underserved to strong, assessments are taken to provide more equity of arts resources, and to ensure that all students have appropriate arts access and instruction.

Arts Community Network: Through our Arts Community Network, LAUSD supports organizations that enhance our students' arts education experience.  When we send professional teaching artists directly into the classroom, it transforms the learning environment.  When students visit a museum, theater, concert hall, or cultural institution, they deepen their understanding of our city and our world. 

Creative Industry Coalition (CIC): The Creative Industry Coalition aims to harness the resources of studios, unions and production companies in the district's backyard, and bring them to students through equipment donations, classroom visits, field trips and more. Over the years, the Arts Education Branch has met with L.A.'s creative industry to discuss ways to better prepare students for their creative futures. CIC partners sponsor citywide arts festivals, provide hands-on workshops, host field trips where students are able to tour facilities, facilitate the opportunity to meet professional artists, and learn about career pathways. 

LINKED LEARNING: 
The LAUSD Linked Learning initiative is transforming high school into a personally relevant and engaging experience by bringing together strong academics, demanding career technical education, real-world experience, and integrated student support systems to help students gain an advantage in high school, in post secondary education, and in their future careers. 

Participation in Linked Learning prepares students to graduate from high school and to succeed in a full range of options after graduation, including two- or four-year colleges, certification programs, apprenticeships, or formal job training. Students follow career-themed Pathways, choosing among fields such as engineering and architecture, arts, media and entertainment, or health science and medical technology.
 
In 2017-18, LAUSD was home to 44 Linked Learning pathways. Fourteen of those pathways linked students to opportunities in the arts, media and entertainment field. Examples of Linked Learning pathways include: Los Angeles High School of the Arts (LAHSA) at RFK Community Schools; Critical Design & Gaming School (C:\DAGS) at Hawkins High School; School of Global and Media Arts (SGMA) at Fremont High School; Art Language Performance Humanities Academy (ALPHA) at Bell High School.","5-10, 11-13, 14, 15, 16, 17, 18",No restrictions/all populations served,more than 1000,City of Los Angeles,"333 South Beaudry Avenue
Los Angeles, CA 90017",Arts Education Branch: https://achieve.lausd.net/arts     Linked Learning: https://achieve.lausd.net/linkedlearning,Yes
7/19/2018 9:13:36,Academy of Motion Picture Arts and Sciences,non-profit,,Academy Gold Program; Academy Gold Production Track Program; Spark @ the Academy,"communication arts, digital media, entertainment, fashion, fine and performing arts school, furniture/decorative arts, industrial design services, publishing and printing, toys, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, WORKFORCE READINESS: teach soft skills required for success in the creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, INTERNSHIPS: provide internship to young people in the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments","AG PROGRAM: The Academy Gold Program is a multi-tiered educational and experiential initiative designed to enhance and extend an industry-wide diversity internship enhancement program under the Academy brand. The initiative affords top film entertainment, technology, production services and digital media companies an all-inclusive pass to recruit and educate a nationwide pool of diverse talent. The program offers interns exclusive access to Academy members, industry professionals, screenings, and educational workshops offering an inclusive industry networking experience.

The Academy affords aspiring film and entertainment students the ability to interact and learn from the best. This initiative will ultimately cement, strengthen and clarify long-standing, but independent efforts to address concerns of accessibility and opportunity for underrepresented communities throughout our country. The Academy partnered with 26 participating studios and content providers to directly impact the careers of more than 100 undergraduate and graduate students, including 22 interns placed in Academy departments.

AG PRODUCTION TRACK PROGRAM: The Academy Gold Production Track program, offering summer-long technical workshops, will be available for students with a career interests in cinematography, production design, post-production and film editing.  Participants include students from Los Angeles Mayor Eric Garcetti’s Evolve Entertainment Fund (EEF), Los Angeles Trade-Technical College, West Los Angeles College, Los Angeles Film School, among others.  These students also will have the opportunity to get hands-on experience shooting scenes on a soundstage, as well as spend one week on the set of an active production shadowing various departments.

SPARK @ the Academy:
Spark is a national nonprofit providing life-changing apprenticeships to middle school youth from underserved communities. Spark @ the Academy engages, educates, and inspires underserved students through a unique mentoring program comprising all aspects of filmmaking. Students attend screenings and Q&As with filmmakers, receive behind-the-scenes tours of the Academy, and visit the Academy Archive to learn about film preservation. They also attend workshops on topics including storyboarding, movie-making with iPads, and green screen demonstrations. Students have worked with producers, screenwriters, directors, casting directors, actors, costume designers, and marketing professionals to write screenplays and short stories, design costumes, produce documentaries, animated shorts, live action shorts, marketing campaigns and other projects.  ","14, 15, 16, 17, 18, 19-24, 24+","Low-income students, Students enrolled in a postsecondary institution",51-100,"City of Los Angeles, County of Los Angeles, Takes interns from out-of-state","8949 Wilshire Boulevard
Beverly Hills, California 90211",http://www.oscars.org/learn/academy-gold-program,Yes
7/19/2018 9:48:52,Evolve Entertainment Fund,workforce investment,"Yes, my organization works with the City of Los Angeles",,"architecture/interior design, arts galleries, communication arts, digital media, entertainment, fashion, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments","The Evolve fund is an alliance between the City of Los Angeles, industry leaders in entertainment and digital media, non-profit organizations, and educational institutions. It is dedicated to building career pathways into film, television, and music for women, people of color, and low-income Angelenos through paid internships, focused mentoring, and an ongoing series of workshops and panels.

The EEF secures paid summer internships for students participating in the HIRE LA’s Youth program — partnering with leading entertainment and digital media organizations that include DreamWorks Animation, Ryan Murphy Television, Film Independent, Creative Artists Agency (CAA), Kobe Bryant’s Granity Studios, and Anonymous Content. That number of interns is expected to grow to 250 by the end of 2018, with a goal of 500 placements by 2020.

EEF also promotes the work of underrepresented filmmakers, storytellers, and creatives — by providing mini-grants to existing non-profits that pair underserved young people with top-level mentors and internships — and deliver production gap financing to qualifying film, television, and new media projects.","18, 19-24","Low-income students, No restrictions/all populations served",101-500,City of Los Angeles,"200 N. Spring St.,
Los Angeles, CA 90012
213-978-0600",http://www.hirelayouth.com/intro.html,Yes
